word,synset,lemma,definition,examples,synonyms,antonyms,similarity_run.v.01_sprint.v.01,similarity_ship.n.01_boat.n.01
terrible,awful.s.02,awful,causing fear or dread or terror,"['the awful war', 'an awful risk', 'dire news', 'a career or vengeance so direful that London was shocked', 'the dread presence of the headmaster', 'polio is no longer the dreaded disease it once was', 'a dreadful storm', 'a fearful howling', 'horrendous explosions shook the city', 'a terrible curse']","{'unspeakable', 'direful', 'dire', 'terrible', 'fearsome', 'frightening', 'tremendous', 'dread', 'horrendous', 'painful', 'frightful', 'dreaded', 'horrific', 'wicked', 'awful', 'atrocious', 'abominable', 'fearful', 'dreadful', 'severe'}",set(),0.8571428571428571,0.9090909090909091
unhappy,unhappy.a.01,unhappy,experiencing or marked by or causing sadness or sorrow or discontent,"['unhappy over her departure', 'unhappy with her raise', 'after the argument they lapsed into an unhappy silence', 'had an unhappy time at school', 'the unhappy (or sad) news', 'he looks so sad']","{'unhappy', 'infelicitous', 'distressed', 'dysphoric'}","{'euphoric', 'happy'}",0.8571428571428571,0.9090909090909091
unkind,unkind.a.01,unkind,lacking kindness,"['a thoughtless and unkind remark', 'the unkindest cut of all']","{'pitiless', 'unkind'}",{'kind'},0.8571428571428571,0.9090909090909091
vengeful,revengeful.s.01,revengeful,disposed to seek revenge or intended for revenge; - Shakespeare; - M.R.Cohen,"['more vindictive than jealous love', 'punishments...essentially vindictive in their nature']","{'vindictive', 'vengeful', 'revengeful'}",set(),0.8571428571428571,0.9090909090909091
elated,elate.v.01,elate,fill with high spirits; fill with optimism,['Music can uplift your spirits'],"{'elate', 'uplift', 'gleeful', 'lift_up', 'elated', 'jubilant', 'pick_up', 'joyful', 'intoxicate'}","{'depress', 'dejected'}",0.8571428571428571,0.9090909090909091
delighted,please.v.01,please,give pleasure to or be pleasing to,"['These colors please the senses', 'a pleasing sensation']","{'transport', 'please', 'ravish', 'enchant', 'enthral', 'delight', 'enthrall', 'charmed', 'enthralled', 'revel', 'captivated', 'enjoy', 'delighted', 'enrapture', 'beguiled', 'entranced'}","{'displease', 'disenchant'}",0.8571428571428571,0.9090909090909091
ecstatic,ecstatic.s.01,ecstatic,feeling great rapture or delight,[],"{'rapturous', 'rapt', 'enraptured', 'rhapsodic', 'ecstatic'}",set(),0.8571428571428571,0.9090909090909091
euphoric,euphoric.a.01,euphoric,exaggerated feeling of well-being or elation,[],{'euphoric'},{'dysphoric'},0.8571428571428571,0.9090909090909091
gleeful,elated.s.02,elated,full of high-spirited delight,['a joyful heart'],"{'joyful', 'gleeful', 'elated', 'jubilant'}",set(),0.8571428571428571,0.9090909090909091
jubilant,exultant.s.01,exultant,joyful and proud especially because of triumph or success,"['rejoicing crowds filled the streets on VJ Day', 'a triumphal success', 'a triumphant shout']","{'exulting', 'gleeful', 'elated', 'prideful', 'jubilant', 'exultant', 'joyful', 'triumphal', 'rejoicing', 'triumphant'}",set(),0.8571428571428571,0.9090909090909091
merry,gay.s.02,gay,full of or showing high-spirited merriment; ; - Wordsworth,"['when hearts were young and gay', 'a poet could not but be gay, in such a jocund company', 'the jolly crowd at the reunion', 'jolly old Saint Nick', 'a jovial old gentleman', 'have a merry Christmas', 'peals of merry laughter', 'a mirthful laugh']","{'alert', 'brisk', 'snappy', 'gay', 'jolly', 'spanking', 'festal', 'lively', 'rattling', 'zippy', 'jocund', 'festive', 'merry', 'mirthful', 'jovial'}",set(),0.8571428571428571,0.9090909090909091
thrilled,thrill.v.01,thrill,cause to be thrilled by some perceptual input,['The men were thrilled by a loud whistle blow'],"{'tickle', 'shudder', 'throb', 'thrill', 'exalt', 'inebriate', 'tickle_pink', 'shiver', 'thrilled', 'beatify', 'exhilarate', 'vibrate'}",set(),0.8571428571428571,0.9090909090909091
overjoyed,overjoy.v.01,overjoy,cause to feel extremely joyful or happy,['the economic growth overjoyed the German industry'],"{'overjoy', 'overjoyed'}",set(),0.8571428571428571,0.9090909090909091
content,content.n.01,content,everything that is included in a collection and that is held or included in something,"['he emptied the contents of his pockets', 'the two groups were similar in content']","{'contented', 'depicted_object', 'substance', 'cognitive_content', 'capacity', 'subject', 'content', 'mental_object', 'subject_matter', 'contentedness', 'message'}","{'discontented', 'discontent'}",0.8571428571428571,0.9090909090909091
exhilarated,exhilarate.v.01,exhilarate,fill with sublime emotion,"['The children were thrilled at the prospect of going to the movies', 'He was inebriated by his phenomenal success']","{'thrill', 'exalt', 'inebriate', 'gladdened', 'tickle_pink', 'exhilarated', 'beatify', 'exhilarate'}",set(),0.8571428571428571,0.9090909090909091
happy,happy.a.01,happy,enjoying or showing or marked by joy or pleasure,"['a happy smile', 'spent many happy days on the beach', 'a happy marriage']","{'glad', 'felicitous', 'happy', 'well-chosen'}",{'unhappy'},0.8571428571428571,0.9090909090909091
pleased,please.v.01,please,give pleasure to or be pleasing to,"['These colors please the senses', 'a pleasing sensation']","{'delight', 'please', 'pleased', 'proud_of'}","{'displease', 'displeased'}",0.8571428571428571,0.9090909090909091
satisfied,satisfy.v.01,satisfy,meet the requirements or expectations of,[],"{'satisfy', 'slaked', 'meet', 'fill', 'fulfill', 'fulfil', 'quenched', 'gratify', 'live_up_to', 'satisfied'}","{'fall_short_of', 'dissatisfy'}",0.8571428571428571,0.9090909090909091
sunny,cheery.s.01,cheery,bright and pleasant; promoting a feeling of cheer,"['a cheery hello', 'a gay sunny room', 'a sunny smile']","{'gay', 'sunny', 'cheery'}",set(),0.8571428571428571,0.9090909090909091
upbeat,wellbeing.n.01,wellbeing,a contented state of being happy and healthy and prosperous,['the town was finally on the upbeat after our recent troubles'],"{'welfare', 'offbeat', 'eudaimonia', 'cheerful', 'well-being', 'upbeat', 'eudaemonia', 'pollyannaish', 'wellbeing'}",{'ill-being'},0.8571428571428571,0.9090909090909091
buoyant,buoyant.s.01,buoyant,tending to float on a liquid or rise in air or gas,"['buoyant balloons', 'buoyant balsawood boats', 'a floaty scarf']","{'chirpy', 'floaty', 'perky', 'buoyant'}",set(),0.8571428571428571,0.9090909090909091
chipper,chipper.s.01,chipper,"having a cheerful, lively, and self-confident air; - Frances G. Patton; - H.M.Reynolds","['looking chipper, like a man...diverted by his own wit', 'life that is gay, brisk, and debonair', 'walked with a jaunty step', 'a jaunty optimist']","{'debonaire', 'debonair', 'jaunty', 'chipper'}",set(),0.8571428571428571,0.9090909090909091
lighthearted,blithe.s.02,blithe,carefree and happy and lighthearted,"['was loved for her blithe spirit', 'a merry blithesome nature', 'her lighthearted nature', 'trilling songs with a lightsome heart']","{'lighthearted', 'blithe', 'light-hearted', 'lightsome', 'blithesome'}",set(),0.8571428571428571,0.9090909090909091
playful,playful.a.01,playful,full of fun and high spirits,['playful children just let loose from school'],{'playful'},{'unplayful'},0.8571428571428571,0.9090909090909091
laughing,laugh.v.01,laugh,produce laughter,[],"{'express_joy', 'laughing', 'laugh', 'riant', 'express_mirth'}",{'cry'},0.8571428571428571,0.9090909090909091
amused,amuse.v.01,amuse,"occupy in an agreeable, entertaining or pleasant fashion",['The play amused the ladies'],"{'amuse', 'amused', 'divert', 'entertained', 'disport', 'diverted'}",set(),0.8571428571428571,0.9090909090909091
smiling,smile.n.01,smile,a facial expression characterized by turning up the corners of the mouth; usually shows pleasure or amusement,[],"{'grinning', 'smile', 'beamish', 'grin', 'twinkly', 'smiling'}",set(),0.8571428571428571,0.9090909090909091
blissed-out,,,,,set(),set(),0.8571428571428571,0.9090909090909091
melancholy,melancholy.n.01,melancholy,a feeling of thoughtful sadness,[],"{'melancholic', 'sombre', 'somber', 'black_bile', 'melancholy'}",set(),0.8571428571428571,0.9090909090909091
sorrowful,sorrowful.a.01,sorrowful,experiencing or marked by or expressing sorrow especially that associated with irreparable loss; ; ; ; - Proverbs 14:13,"['sorrowful widows', 'a sorrowful tale of death and despair', 'sorrowful news', 'even in laughter the heart is sorrowful']",{'sorrowful'},{'joyful'},0.8571428571428571,0.9090909090909091
heartbroken,brokenhearted.s.01,brokenhearted,full of sorrow,[],"{'brokenhearted', 'heartbroken', 'heartsick'}",set(),0.8571428571428571,0.9090909090909091
dismal,blue.s.08,blue,causing dejection,"['a blue day', 'the dark days of the war', 'a week of rainy depressing weather', 'a disconsolate winter landscape', 'the first dismal dispiriting days of November', 'a dark gloomy day', 'grim rainy weather']","{'dark', 'blue', 'drear', 'disconsolate', 'dingy', 'gloomy', 'grim', 'sorry', 'dismal', 'drab', 'dreary'}",set(),0.8571428571428571,0.9090909090909091
despondent,despondent.s.01,despondent,without or almost without hope,"['despondent about his failure', 'too heartsick to fight back']","{'despondent', 'heartsick'}",set(),0.8571428571428571,0.9090909090909091
grieving,grieve.v.01,grieve,feel grief,[],"{'aggrieve', 'bereaved', 'mourning', 'bereft', 'grieving', 'grieve', 'sorrowing', 'sorrow', 'grief-stricken'}",set(),0.8571428571428571,0.9090909090909091
mournful,mournful.s.01,mournful,expressing sorrow,[],"{'mournful', 'doleful', 'plaintive'}",set(),0.8571428571428571,0.9090909090909091
woeful,woebegone.s.02,woebegone,affected by or full of grief or woe; - George du Maurier,['his sorrow...made him look...haggard and...woebegone'],"{'miserable', 'wretched', 'execrable', 'deplorable', 'woeful', 'woebegone'}",set(),0.8571428571428571,0.9090909090909091
downcast,downcast.n.01,downcast,a ventilation shaft through which air enters a mine,[],"{'blue', 'low-spirited', 'down_in_the_mouth', 'downcast', 'low', 'downhearted', 'grim', 'depressed', 'down', 'gloomy', 'dispirited'}",set(),0.8571428571428571,0.9090909090909091
gloomy,glooming.s.01,glooming,depressingly dark,"['the gloomy forest', 'the glooming interior of an old inn', ""`gloomful' is archaic""]","{'sulky', 'glooming', 'drear', 'dreary', 'low', 'gloomful', 'grim', 'dismal', 'low-spirited', 'down', 'sorry', 'gloomy', 'blue', 'disconsolate', 'down_in_the_mouth', 'downcast', 'dispirited', 'dark', 'dingy', 'depressed', 'drab', 'downhearted'}",set(),0.8571428571428571,0.9090909090909091
tearful,tearful.a.01,tearful,filled with or marked by tears,"['tearful eyes', 'tearful entreaties']","{'lachrymose', 'dolorous', 'tearful', 'weeping', 'dolourous'}",{'tearless'},0.8571428571428571,0.9090909090909091
disheartened,dishearten.v.01,dishearten,take away the enthusiasm of,[],"{'dishearten', 'put_off', 'disheartened', 'demoralised', 'demoralized', 'discouraged'}",{'hearten'},0.8571428571428571,0.9090909090909091
dejected,depress.v.01,depress,lower someone's spirits; make downhearted,"['These news depressed her', ""The bad state of her child's health demoralizes her""]","{'demoralize', 'dismay', 'get_down', 'deject', 'depress', 'cast_down', 'demoralise', 'dejected', 'dispirit'}","{'elate', 'elated'}",0.8571428571428571,0.9090909090909091
forlorn,forlorn.s.01,forlorn,marked by or showing hopelessness,"['the last forlorn attempt', 'a forlorn cause']",{'forlorn'},set(),0.8571428571428571,0.9090909090909091
blue,blue.n.01,blue,blue color or pigment; resembling the color of the clear sky in the daytime,['he had eyes of bright blue'],"{'patrician', 'drear', 'bluish', 'puritanic', 'dreary', 'low', 'gentle', 'juicy', 'grim', 'blue_angel', 'dismal', 'puritanical', 'blue_air', 'bluing', 'low-spirited', 'drab', 'gamey', 'blasphemous', 'blueish', 'down', 'wild_blue_yonder', 'sorry', 'blueing', 'gloomy', 'blue_sky', 'amobarbital_sodium', 'blue-blooded', 'blue', 'risque', 'disconsolate', 'down_in_the_mouth', 'downcast', 'aristocratic', 'gamy', 'aristocratical', 'naughty', 'dispirited', 'spicy', 'dark', 'racy', 'dingy', 'depressed', 'blueness', 'Amytal', 'profane', 'blue_devil', 'downhearted'}",set(),0.8571428571428571,0.9090909090909091
pained,trouble.v.05,trouble,cause bodily suffering to and make sick or indisposed,[],"{'trouble', 'offended', 'pained', 'anguish', 'pain', 'hurt', 'ail'}",set(),0.8571428571428571,0.9090909090909091
crestfallen,chapfallen.s.01,chapfallen,brought low in spirit,['left us fatigued and deflated spiritually'],"{'crestfallen', 'chapfallen', 'deflated', 'chopfallen'}",set(),0.8571428571428571,0.9090909090909091
somber,drab.s.02,drab,lacking brightness or color; dull,"['drab faded curtains', 'sober Puritan grey', 'children in somber brown clothes']","{'sombre', 'sober', 'somber', 'drab', 'melancholy'}",set(),0.8571428571428571,0.9090909090909091
desolate,abandon.v.05,abandon,leave someone who needs or counts on you; leave in the lurch,['The mother deserted her children'],"{'depopulate', 'abandon', 'forsake', 'scourge', 'lay_waste_to', 'waste', 'devastate', 'ravage', 'bare', 'bleak', 'desert', 'desolate', 'stark', 'barren'}",set(),0.8571428571428571,0.9090909090909091
distressed,straiten.v.01,straiten,"bring into difficulties or distress, especially financial hardship",[],"{'stressed', 'distress', 'straiten', 'hard-pressed', 'hard_put', 'dysphoric', 'disquieted', 'unhappy', 'in_a_bad_way', 'upset', 'distressed', 'disturbed', 'worried'}",{'euphoric'},0.8571428571428571,0.9090909090909091
